match_id,first_to_serve,home_team_seed,away_team_seed,custom_id,winner_code,default_period_count,start_datetime,match_slug,final_result_only
12260075,1,,30,LOfsRUhc,2,3,1714499700,lehecka-nadal,True
12260076,1,1,16,FyLsvGHb,1,3,1714480500,sinner-khachanov,True
12260077,1,23,2,QCtsytke,2,3,1714484700,alcaraz-struff,True
12260078,1,7,2,fKRzytkc,1,3,1714563900,alcaraz-rublev,True
12260080,2,21,4,nTxsbvNb,1,3,1714488300,cerundolo-zverev,True
12260081,2,12,21,QvebsmvNb,1,3,1714590900,cerundolo-fritz,True
12260083,,1,,nPBbsvGHz,2,3,1714648500,sinner-auger-aliassime,True
12260084,1,3,30,evpbsTUbc,2,3,1714675500,lehecka-medvedev,True
12260085,1,,5,YFXsnPBb,1,3,1714496100,auger-aliassime-ruud,False
12261530,1,12,7,fKRsGveb,2,3,1714749300,fritz-rublev,False
12261531,2,,30,sPBbsRUbc,1,3,1714759200,lehecka-auger-aliassime,True
12261532,2,,7,fKRsnPBx,2,3,1714929300,auger-aliassime-rublev,False
12261565,2,1,2,efjbsxpQb,1,3,1714842900,swiatek-sabalenka,True
12261592,2,1,18,ziorxpQb,1,3,1714660200,swiatek-keys,True
12261593,2,4,2,efnbsbBzb,2,3,1714679100,rybakina-sabalenka,True
12261594,2,,2,efnblBKmd,2,3,1714583700,andreeva-sabalenka,False
12261595,1,,4,VktsmBzs,2,3,1714550400,rybakina-putintseva,True
12261596,1,18,8,ziosbcx,1,3,1714501800,jabeur-keys,False
12276769,2,Q,,vjjslUp,2,3,1714550700,duckworth-berankis,True
12276770,2,5,,lUpsCJbc,1,3,1714816200,yunchaokete-duckworth,True
12276771,1,,3,AbGbswjkc,1,3,1714891500,schoolkate-walton,False
12276772,1,5,,nTuwCJbc,1,3,1714554600,bu-escoffier,True
12276773,2,LL,,rOGsIRLb,1,3,1714627800,shimizu-jasika,True
12276774,2,,8,wjkcsMLnc,1,3,1714618800,bellucci-schoolkate,True
12276775,1,A,,ELGbsaQHb,2,3,1714631100,holt-hsu,False
12276776,2,,3,uxysAbIb,2,3,1714547100,walton-bolt,False
12276777,1,,,EZGbswjkc,2,3,1714797600,schoolkate-hsu,False
12276778,1,LL,7,LRLesfLPb,2,3,1714792500,cressy-shimizu,False
12276779,1,,3,AbIbsTfTb,2,3,1714816800,zhukayev-walton,False
12276780,1,3,5,AbIbsBJbc,1,3,1714882500,yunchaokete-walton,True
12276781,2,WC,,oImbsFbTb,2,3,1714553400,zhukayev-rigele-te,True
12276782,2,,7,fLPsswjkc,1,3,1714873500,schoolkate-cressy,True
12276783,1,,7,fLPbsQUdd,2,3,1714620600,lajal-cressy,True
12276805,1,LL,Q,Aonsticc,1,3,1714752300,justo-dutra-da-silva,False
12276806,2,LL,,AousCrH,1,3,1714651200,villanueva-dutra-da-silva,True
12276807,1,,,pVucshNcd,1,3,1714666200,zanellato-bueno,True
12276808,1,8,A,EOzbszpBc,1,3,1714758900,torres-kirkin,True
12276809,2,,8,EHzbspEuc,2,3,1714845900,bueno-kirkin,False
12276810,2,LL,8,AousZHzb,2,3,1714910400,kirkin-dutra-da-silva,True
12276811,1,,LL,FnpcAou,2,3,1714833300,dutra-da-silva-mena,False
12276812,2,Q,,HnpshQv,2,3,1714750200,sell-mena,True
12276813,2,8,A,LHzbsAlGc,1,3,1714669500,kuzuhara-kirkin,True
12276814,2,A,,zrBcsGlIc,1,3,1714666800,ambrogi-torres,False
12276815,1,,Q,WVGbsxQgd,2,3,1714662900,prado-angelo-alves,False
12276816,1,Q,,hOvsWGnc,1,3,1714663800,boscardin-dias-sell,True
12276817,2,,Q,pVucsxQgy,1,3,1714743000,prado-angelo-bueno,False
12276818,2,Q,,jBysticc,1,3,1714668600,justo-cid-subervi,True
12276819,2,,Q,FnpsEoI,1,3,1714668600,uchida-mena,False
12276824,,1,,KGFmsXMge,2,3,1714682100,hemery-ouakaa-alves-dutra-da-silva,False
12276825,2,,4,bfgesXUge,2,3,1714761600,hemery-ouakaa-harper-stevenson,True
12276826,1,,A,LTfcsGlgd,1,3,1714768500,aboian-aboian-cid-subervi-uchida,False
12276827,2,4,,LQfcspfge,2,3,1714833900,harper-stevenson-cid-subervi-uchida,False
12276828,2,A,2,GlldsWege,1,3,1714693500,britto-villanueva-aboian-aboian,False
12276829,1,,WC,LQfcnaNge,1,3,1714689900,miguelf-sell-cid-subervi-uchida,True
12276830,,4,,bfgesLMge,1,3,1714686600,mena-sakellaridis-harper-stevenson,False
12276832,1,A,4,iLgsFYZ,2,3,1714725000,safiullin-ramos-vinolas,False
12276833,2,3,,bTPkgtHb,1,3,1714733400,gaston-tabilo,True
12276834,1,,A,REKsgMab,1,3,1714723200,munar-muller,True
12276835,2,,2,gCkbsWOrb,1,3,1714735800,etcheverry-munar,True
12276836,2,1,A,oNfsUrc,2,3,1714742400,mannarino-gasquet,True
12276837,1,3,Q,InnsbTP,1,3,1714756500,tabilo-bagnis,False
12276838,1,Q,7,InpsULec,1,3,1714732200,shevchenko-bagnis,False
12276839,2,,4,FFZsBlUb,2,3,1714744800,nakashima-safiullin,True
12276840,2,3,,bTPsgCwb,1,3,1714922100,munar-tabilo,False
12276841,1,,2,gxAsWOrb,2,3,1714719600,etcheverry-rinderknech,True
12276842,2,4,,WYZsgCab,2,3,1714819500,munar-safiullin,True
