match_id,current_score,display_score,period_1,period_2,period_3,period_4,period_5,period_1_tie_break,period_2_tie_break,period_3_tie_break,period_4_tie_break,period_5_tie_break,normal_time
12260075,1,1,6,5,,,,,,,,,
12260076,3,2,6,7,6,,,,,,,,
12260077,2,2,4,7,7,,,,8,5,,,
12260078,2,3,4,7,7,,,,,,,,
12260080,2,2,6,6,,,,,,,,,
12260081,3,3,7,3,6,,,,,,,,
12260083,,,,,,,,,,,,,
12260084,1,0,4,,,,,,,,,,
12260085,2,3,6,8,,,,,,,,,
12261530,1,1,5,4,,,,,,,,,
12261531,0,0,4,,,,,,,,,,
12261532,1,1,6,5,5,,,,,,,,
12261565,3,2,8,4,7,,,,,10,,,
12261592,2,3,6,7,,,,,,,,,
12261593,2,1,7,5,6,,,,,5,,,
12261594,0,0,1,5,,,,,,,,,
12261595,1,2,6,6,6,,,,5,,,,
12261596,3,2,0,8,7,,,,,,,,
12276769,1,1,2,2,,,,,,,,,
12276770,3,2,7,7,,,,8,,,,,
12276771,2,2,7,3,6,,,,,,,,
12276772,2,3,7,7,,,,,,,,,
12276773,3,2,8,8,,,,,,,,,
12276774,2,2,7,7,,,,,8,,,,
12276775,1,1,3,1,,,,,,,,,
12276776,1,0,6,1,,,,1,,,,,
12276777,2,2,7,4,6,,,,,,,,
12276778,1,1,4,6,6,,,,,3,,,
12276779,1,2,4,8,6,,,,,,,,
12276780,3,2,3,7,6,,,,8,,,,
12276781,1,0,6,6,,,,,3,,,,
12276782,3,2,7,6,,,,7,,,,,
12276783,2,1,3,7,3,,,,,,,,
12276805,3,2,2,6,7,,,,,,,,
12276806,2,3,7,7,,,,,,,,,
12276807,2,2,7,2,7,,,,,,,,
12276808,3,3,7,6,8,,,,3,,,,
12276809,2,1,6,7,3,,,6,,,,,
12276810,0,0,4,5,,,,,,,,,
12276811,0,0,3,4,,,,,,,,,
12276812,2,2,8,4,1,,,10,,,,,
12276813,2,2,4,6,6,,,,,,,,
12276814,2,3,8,7,,,,,,,,,
12276815,1,1,1,,,,,,,,,,
12276816,2,3,7,6,,,,,,,,,
12276817,3,3,7,7,,,,,,,,,
12276818,2,3,7,7,,,,,,,,,
12276819,2,2,8,6,,,,,,,,,
12276824,,,,,,,,,,,,,
12276825,1,1,4,7,,,,,2,,,,
12276826,3,3,7,6,,,,,,,,,
12276827,1,2,8,7,6,,,,1,,,,
12276828,2,3,7,6,,,,,,,,,
12276829,3,3,8,7,,,,7,,,,,
12276830,,,,,,,,,,,,,
12276832,1,0,3,2,,,,,,,,,
12276833,2,3,5,7,7,,,,,,,,
12276834,3,2,7,4,6,,,,,,,,
12276835,2,3,7,7,,,,,,,,,
12276836,1,1,2,3,,,,,,,,,
12276837,2,1,6,,,,,,,,,,
12276838,3,3,6,2,6,,,,,,,,
12276839,1,0,3,7,,,,,6,,,,
12276840,3,3,6,6,,,,,,,,,
12276841,1,1,7,5,,,,3,,,,,
12276842,1,1,7,3,,,,4,,,,,
12276843,1,2,7,1,3,,,,,,,,
12276844,2,3,7,7,,,,,9,,,,
12276845,1,0,4,4,,,,,,,,,
12276846,3,3,7,4,8,,,,,8,,,
12276855,3,2,8,7,,,,8,,,,,
12276856,0,0,1,6,,,,,,,,,
12276857,0,0,4,0,,,,,,,,,
12276858,,,,,,,,,,,,,
12276859,0,0,2,4,,,,,,,,,
12276860,3,2,4,7,7,,,,,8,,,
12276861,2,3,3,6,6,,,,,,,,
12276862,3,2,7,7,6,,,,3,,,,
12276863,3,2,7,6,,,,,,,,,
12276864,1,1,6,6,,,,,5,,,,
12276865,1,2,7,2,3,,,,,,,,
12276866,2,2,7,5,6,,,,,,,,
12276867,2,3,8,6,,,,,,,,,
12276868,1,1,1,5,,,,,,,,,
