match_id,period_1,period_2,period_3,period_4,period_5,current_period_start_timestamp
12260075,3463,3855,,,,1714510786
12260076,3032,2121,2674,,,1714492157
12260077,2747,3525,4074,,,1714492461
12260078,2519,2531,2121,,,1714577805
12260080,2616,2766,,,,1714482777
12260081,1700,2440,2317,,,1714596710
12260083,,,,,,1714602241
12260084,,,,,,1714673721
12260085,2777,4401,,,,1714498894
12261530,2367,1991,,,,1714747785
12261531,,,,,,1714760073
12261532,2915,3218,3964,,,1714933406
12261565,3630,3125,4764,,,1714847521
12261592,1827,2396,,,,1714660752
12261593,1460,3379,3389,,,1714683541
12261594,1857,2879,,,,1714588492
12261595,2687,3986,3432,,,1714564738
12261596,1414,2843,1333,,,1714504393
12276769,1397,2130,,,,1714557665
12276770,3567,2191,,,,1714817591
12276771,2669,2821,2433,,,1714902033
12276772,2468,3231,,,,1714563236
12276773,3163,2974,,,,1714627769
12276774,1315,4057,,,,1714626056
12276775,2376,1862,,,,1714630358
12276776,3688,1626,,,,1714553909
12276777,2348,3083,4182,,,1714808850
12276778,4311,2756,110738,,,1714712700
12276779,2173,3670,113846,,,1714711685
12276780,2510,3936,2341,,,1714885472
12276781,3315,4072,,,,1714555522
12276782,3318,2545,,,,1714881746
12276783,2198,2960,2609,,,1714624426
12276805,2276,3528,2469,,,1714761994
12276806,1782,3149,,,,1714657086
12276807,1620,2295,2987,,,1714665027
12276808,2978,4278,4120,,,1714758758
12276809,4688,2498,2820,,,1714848373
12276810,2669,3524,,,,1714917067
12276811,2613,3874,,,,1714843617
12276812,4272,3920,1927,,,1714753463
12276813,2473,3702,2436,,,1714677913
12276814,2528,2045,,,,1714680674
12276815,,,,,,1714660609
12276816,2343,1946,,,,1714657666
12276817,2312,2852,,,,1714747535
12276818,2395,3222,,,,1714671346
12276819,4128,2357,,,,1714668508
12276824,,,,,,1714674906
12276825,1696,2778,,,,1714765603
12276826,2096,2163,,,,1714767512
12276827,2275,3233,811,,,1714837259
12276828,1799,2707,,,,1714694909
12276829,3116,2373,,,,1714689856
12276830,,,,,,1714682855
12276832,2728,2403,,,,1714726555
12276833,1813,1793,3258,,,1714737093
12276834,2747,2384,11604,,,1714728827
12276835,2554,3523,,,,1714744623
12276836,1943,1801,,,,1714736438
12276837,,,,,,1714749366
12276838,3654,868,2412,,,1714734352
12276839,2254,3549,,,,1714744446
12276840,1908,3169,,,,1714916405
12276841,4527,9427,,,,1714728848
12276842,4065,3036,,,,1714828627
12276843,2373,1709,2112,,,1714836977
12276844,3245,5292,,,,1714727068
12276845,2355,2313,,,,1714751786
12276846,1654,1913,3452,,,1714737027
12276855,4044,3399,,,,1714666971
12276856,1554,3450,,,,1714672980
12276857,2544,3974,,,,1714647099
12276858,,,,,,1714728467
12276859,1794,3453,,,,1714830973
12276860,3384,2277,4216,,,1714753201
