match_id,home_vote,away_vote
12260075,5926,8590
12260076,7974,1618
12260077,5378,3602
12260078,2988,3644
12260080,2074,11490
12260081,5820,9704
12260083,3826,2458
12260084,23708,4916
12260085,2318,6194
12261530,3258,18382
12261531,10794,18918
12261532,5364,26582
12261565,13680,7140
12261592,2140,10
12261593,3536,9364
12261594,2912,5094
12261595,340,1284
12261596,2318,11406
12276769,300,610
12276770,790,3452
12276771,104,376
12276772,202,266
12276773,450,204
12276774,184,212
12276775,678,480
12276776,428,392
12276777,1824,1040
12276778,30,2112
12276779,118,1748
12276780,1308,748
12276781,24,344
12276782,568,1114
12276783,122,2110
12276805,8,150
12276806,990,226
12276807,660,224
12276808,6,534
12276809,50,560
12276810,696,1684
12276811,738,116
12276812,470,326
12276813,398,22
12276814,588,126
12276815,10,390
12276816,704,190
12276817,766,552
12276818,96,2
12276819,138,82
12276824,80,22
12276825,52,48
12276826,34,100
12276827,116,88
12276828,2,16
12276829,84,86
12276830,6,28
12276832,998,2692
12276833,2942,616
12276834,5514,850
12276835,10,24
12276836,966,1220
12276837,2,154
12276838,382,176
12276839,244,44
12276840,1494,1658
12276841,342,5350
12276842,1944,870
12276843,694,1018
12276844,1676,738
12276845,84,236
12276846,536,280
12276855,274,3012
12276856,2016,414
12276857,202,2764
12276858,1602,414
12276859,130,3424
12276860,1376,80
12276861,1122,1184
12276862,1398,506
12276863,2142,132
12276864,584,290
12276865,1094,2674
12276866,2254,56
12276867,2376,338
12276868,1316,3652
12276869,362,2508
12276923,188,406
12276924,1296,92
12276925,84,122
12276926,704,0
12276927,1182,194
12276928,298,128
12276929,1324,206
12276930,1014,120
12276931,1312,702
12276932,780,472
12276933,386,724
12276934,6,22
12276935,64,508
12276937,182,98
12276938,140,38
12276974,340,910
12276975,1332,460
12276976,24,96
12276977,30,256
12276978,518,996
12276979,700,126
12276980,1200,2262
12276981,144,218
12276982,422,60
12276983,62,588
12276984,768,218
12276985,984,614
12276986,496,900
12276987,212,298
12276988,810,850
12287004,90,6
12287005,1430,168
12287006,168,156
12287007,62,586
12287008,22,166
12287009,104,1556
12287010,98,56
12287011,44,0
12287012,8,508
12287013,208,750
12288044,58,346
12288048,16,134
12288050,22,96
12288414,28,14
12288415,14,10
12288416,6,36
12288417,88,34
12288418,90,8
12288419,88,16
12288420,182,76
12288421,14,122
12288918,3358,348
12288919,1066,660
12288920,2044,370
12288921,2434,184
12288922,0,1826
12288923,174,2640
12288924,48,50
12288925,664,340
12288926,1182,124
12288929,814,186
12288930,256,664
12288931,290,322
12288932,648,526
12288933,294,1102
12289656,0,40
12289658,16,64
12289660,24,164
12289663,56,6
12289664,32,78
12289665,0,4
12289667,22,18
12289668,20,32
12289670,16,8
12289671,42,22
12289672,30,10
12289674,2,2
12289675,4,94
12289677,60,18
12289678,20,6
12289690,10,4
12289691,0,32
12290721,384,102
12291185,96,0
12291277,62,0
12291304,16,30
12291487,42,0
12291488,18,4
12291489,16,42
12291490,18,8
12291491,4,48
12291492,20,6
12291493,10,0
12291497,2,28
12291498,10,2
12291506,28,100
12291593,18,66
12291657,38,110
12291659,134,22
